Name,Average
Apodemus_flavicollis,4.94
Perognathus_parvus,4.86
Dipodomys_ingens,4.77
Perognathus_longimembris,4.45
Apodemus_peninsulae,4.41
Perognathus_flavescens,4.37
Liomys_irroratus,4.22
Perognathus_merriami,4.18
Perognathus_inornatus,4
Perognathus_flavus,3.94
Microdipodops_pallidus,3.89
Apodemus_mystacinus,3.88
Dipodomys_panamintinus,3.78
Liomys_salvini,3.69
Microdipodops_megacephalus,3.68
Liomys_pictus,3.67
Aethomys_nyikae,3.56
Heteromys_oresterus,3.41
Dipodomys_deserti,3.36
Liomys_adspersus,3.2
Dipodomys_heermanni,3.11
Aethomys_chrysophilus,3.09
Heteromys_desmarestianus,3.06
Aethomys_kaiseri,3
Dipodomys_ordii,2.95
Heteromys_gaumeri,2.95
Acomys_dimidiatus,2.92
Dipodomys_elator,2.91
Heteromys_anomalus,2.83
Heteromys_australis,2.75
Acomys_spinosissimus,2.71
Aethomys_ineptus,2.7
Dipodomys_stephensi,2.68
Dipodomys_spectabilis,2.67
Dipodomys_agilis,2.6
Dipodomys_californicus,2.6
Dipodomys_phillipsii,2.59
Dipodomys_simulans,2.5
Acomys_russatus,2.5
Dipodomys_merriami,2.39
Dipodomys_microps,2.37
Acomys_wilsoni,2.29
Dipodomys_nitratoides,2.14
Acomys_cilicicus,2.05
Aethomys_hindei,2.05
Dipodomys_compactus,1.94
Dipodomys_nelsoni,1.94
Dipodomys_venustus,1.73
Hystrix_cristata,1.73
Hystrix_indica,1.73
Acomys_cahirinus,1.72
Hystrix_africaeaustralis,1.51
Atherurus_africanus,1.5
Atherurus_macrourus,1.5
Hystrix_brachyura,1.41
Hystrix_javanica,1.4
Trichys_fasciculata,1
Abeomelomys_sevia,1
Rattus_argentiventer,9.85
Ammospermophilus_interpres,9.36
Mastomys_natalensis,9.23
Ammospermophilus_nelsoni,8.9
Poliocitellus_franklinii,8.69
Urocitellus_townsendii_,8.49
Ictidomys_tridecemlineatus,8.08
Gerbillus_cheesmani,8
Mus_terricolor,8
Ammospermophilus_leucurus,8
Rattus_nitidus,7
Urocitellus_mollis,7.97
Mastomys_coucha,7.96
Urocitellus_washingtoni,7.88
Spermophilus_erythrogenys,7.77
Urocitellus_undulatus,7.77
Urocitellus_richardsonii,7.59
Urocitellus_brunneus,7.5
Meriones_vinogradovi,7.48
Bandicota_bengalensis,7.29
Spermophilus_pygmaeus,7.08
Rattus_colletti,7
Rattus_villosissimus,7
Rattus_norvegicus,6.96
Xerospermophilus_spilosoma,6.94
Mus_platythrix,6.93
Tamias_umbrinus,6.8
Rattus_losea,6.78
Saccostomus_campestris,6.75
Otospermophilus_beecheyi,6.71
Mus_spicilegus,6.69
Xerospermophilus_mohavensis,6.5
Urocitellus_parryii,6.5
Spermophilus_citellus,6.48
Mastomys_huberti,6.4
Rattus_mindorensis,6.4
Ammospermophilus_harrisii,6.32
Xerospermophilus_tereticaudus,6.32
Marmota_bobak,6.2
Bandicota_indica,6.12
Xerospermophilus_perotensis,6.07
Diplothrix_legata,6
Rattus_tanezumi,6
Meriones_sacramenti,5.99
Rattus_sordidus,5.99
Marmota_baibacina,5.99
Spermophilus_fulvus,5.99
Mus_booduga,5.96
Tamias_quadrimaculatus,5.93
Ictidomys_mexicanus,5.91
Arvicanthis_neumanni,5.89
Rattus_rattus,5.88
Meriones_shawi,5.84
Meriones_persicus,5.83
Meriones_tristrami,5.8
Zelotomys_hildegardeae,5.75
Saccostomus_mearnsi,5.75
Urocitellus_elegans,5.75
Apodemus_uralensis,5.72
Millardia_meltada,5.72
Urocitellus_beldingi,5.71
Rhabdomys_pumilio,5.68
Meriones_meridianus,5.64
Spermophilus_dauricus,5.62
Mus_musculus,5.54
Hylomyscus_grandis,5.5
Spermophilus_suslicus,5.49
Tamiasciurus_douglasii,5.49
Praomys_daltoni,5.44
Cynomys_leucurus,5.4
Urocitellus_armatus,5.4
Rattus_novaeguineae,5.37
Rattus_tunneyi,5.34
Myocastor_coypus,5.34
Octodon_degus,5.31
Rhabdomys_pumilio,5.28
Gerbilliscus_robustus,5.26
Cremnomys_cutchicus,5.23
Callospermophilus_lateralis,5.18
Apodemus_sylvaticus,5.16
Mus_spretus,5.15
Meriones_unguiculatus,5.01
Tamias_sibiricus,5.01
Niviventer_fulvescens,4
Tatera_indica,4.99
Zelotomys_woosnami,4.99
Marmota_camtschatica,4.99
Sciurus_variegatoides,4.99
Spermophilus_xanthoprymnus,4.99
Tamias_amoenus,4.99
Tamias_dorsalis,4.99
Tamias_minimus,4.95
Otospermophilus_variegatus,4.93
Micromys_minutus,4.92
Pseudomys_apodemoides,4.9
Cynomys_parvidens,4.89
Spermophilus_relictus,4.89
Tamias_cinereicollis,4.89
Arvicanthis_niloticus,4.86
Gerbillus_latastei,4.86
Niviventer_eha,4.86
Tamias_ruficaudus,4.85
Golunda_ellioti,4.83
Mus_indutus,4.76
Gerbillus_simoni,4.68
Marmota_caligata,4.67
Marmota_flaviventris,4.66
Gerbillus_perpallidus,4.65
Lemniscomys_striatus,4.64
Dendromus_nyikae,4.62
Steatomys_krebsii,4.62
Hylomyscus_denniae,4.61
Lemniscomys_barbarus,4.61
Rhombomys_opimus,4.59
Rattus_fuscipes,4.58
Meriones_libycus,4.54
Gerbilliscus_leucogaster,4.5
Notomys_aquilo,4.5
Marmota_sibirica,4.5
Sciurus_vulgaris,4.5
Spermophilopsis_leptodactylus,4.5
Tamias_alpinus,4.5
Tamias_merriami,4.5
Myospalax_myospalax,4.5
Cynomys_gunnisoni,4.48
Apodemus_speciosus,4.47
Taterillus_pygargus,4.47
Rattus_lutreolus,4.45
Gerbilliscus_nigricaudus,4.44
Pseudomys_novaehollandiae,4.43
Cynomys_ludovicianus,4.43
Stenocephalemys_albipes,4.41
Gerbillurus_tytonis,4.4
Mus_cervicolor,4.4
Mus_triton,4.4
Rattus_praetor,4.37
Taeromys_taerae,4.37
Tamias_senex,4.37
Gerbillus_campestris,4.34
Callospermophilus_madrensis,4.34
Uromys_anak,4.3
Rattus_pyctoris,4.23
Meriones_crassus,4.21
Mus_mattheyi,4.2
Hylomyscus_aeta,4.18
Mus_minutoides,4.18
Nesokia_indica,4.18
Cynomys_mexicanus,4.18
Gerbillus_gerbillus,4.14
Tamias_speciosus,4.14
Meriones_hurrianae,4.1
Praomys_rostratus,4.1
Marmota_monax,4.1
Uranomys_ruddi,4.07
Gerbilliscus_boehmi,4.06
Meriones_tamariscinus,4.04
Mylomys_dybowskii,4.04
